df,dl,dr,v,w
0.55673033,0.5659708,0.6586957,0.0,0.21414842
2.3542724,2.5131881,2.5638123,0.4468482,0.08818976
1.0644561,2.0985363,0.5326836,0.040061984,-0.66048414
3.8568406,4.5322294,4.204085,0.5,-0.41043776
2.750585,2.7566645,3.4913812,0.5,0.7139124
0.80456495,0.7645222,0.53694755,0.015379674,-0.4263766
1.3254069,1.2028319,1.2365217,0.07243487,0.03942382
1.1969583,0.20233634,1.3642474,0.0405056,0.70542413
3.169262,4.1685147,3.2299435,0.48086584,-0.7111683
1.7240789,1.4666303,1.3567575,0.18149248,-0.14113373
3.390469,4.451776,3.7758896,0.49291727,-0.7277747
0.43219453,0.7338972,1.2596709,0.0,0.6840019
2.5820484,2.7096937,2.7289248,0.5,0.016558059
0.7296683,0.91318077,0.42954692,0.02962914,-0.7113491
0.75621885,1.5416675,0.35928705,0.010977851,-0.67487836
1.8594127,1.6690454,3.2564158,0.24210048,0.73720896
2.8376536,3.4038959,2.9436362,0.5,-0.5340438
3.3009274,3.5370638,3.777019,0.4871785,0.31986246
1.0246156,1.4243723,0.3543201,0.034011032,-0.7000677
2.6089919,0.920546,2.4248698,0.5,0.7598955
0.66815203,0.54625076,1.4149595,0.005768411,0.7159191
3.2330484,3.6280997,2.9220653,0.5,-0.6540555
0.6770434,0.2,0.47544828,0.0155072585,0.5061306
1.076093,1.991444,1.456756,0.045196656,-0.6833604
1.1846821,1.516649,1.0786463,0.025263952,-0.6195737
1.7229306,1.6747328,2.1742802,0.17866959,0.562453
2.414748,2.7098534,2.214017,0.45794046,-0.60358644
2.0818098,1.9785614,2.1936944,0.31863758,0.2768444
2.3761845,2.6111298,2.8611503,0.46758255,0.33784077
3.0729625,3.3563101,3.0857162,0.49400774,-0.38051084
2.5701172,3.446528,2.1478786,0.49749538,-0.70158255
1.256515,1.5907166,1.2163856,0.03683722,-0.49944708
2.6565733,2.2786875,2.3325524,0.49626973,0.0397454
1.21313,1.7123421,0.3363641,0.04516569,-0.7437198
1.6921763,2.271104,1.8536379,0.1820662,-0.5129028
2.3862402,1.7718102,2.6064894,0.4720936,0.6427209
2.1263058,1.6586903,2.8086052,0.3349906,0.7269115
2.5076303,3.6958241,2.241726,0.5,-0.732189
3.446479,0.4288874,3.6154256,0.5,0.7509641
2.5124543,0.8273422,3.411476,0.4915775,0.70200384
1.836662,2.0168524,2.1125247,0.21873315,0.09304051
0.8925999,0.77524984,1.626319,0.011412884,0.70193666
3.6529436,2.9444299,3.7907546,0.48809633,0.7478216
3.5985343,3.2186437,4.1254115,0.49908498,0.7143379
0.7670853,0.64928824,0.8410614,0.0072820387,0.32813698
0.89240384,0.85925865,0.38410527,0.016187157,-0.6986739
2.755029,2.5970116,3.3326168,0.5,0.7234766
2.883229,2.2418866,3.219298,0.49335864,0.673844
2.5464578,0.3457645,2.8251104,0.5,0.73033327
2.263648,3.0060513,2.0090315,0.41694078,-0.6804118
2.411936,2.217109,3.349114,0.46341744,0.69474417
2.2148757,2.2842448,2.8096442,0.37560394,0.657786
1.0519985,2.0139554,0.94313216,0.05765794,-0.69848704
3.3828933,3.2668965,4.324554,0.5,0.69358414
3.1243382,4.8326397,3.9621193,0.48785397,-0.6729952
0.66535383,1.3235756,0.78475946,0.0,-0.6952804
2.8209157,3.0534282,2.5520213,0.5,-0.5635499
2.8133082,2.9262419,3.274679,0.4887507,0.44402543
4.0417776,4.918774,4.069973,0.5,-0.7538248
3.1572206,3.0159407,4.6337776,0.5,0.7245125
3.0800626,3.1043174,2.7915487,0.5,-0.3913141
2.5941143,3.6809263,3.5949352,0.4968946,-0.114136636
2.370868,2.4031012,2.2847037,0.43965,-0.11123707
0.9102215,0.8475937,1.0076547,0.017072352,0.28888944
3.0018208,2.8008842,2.807105,0.49599078,-0.022824323
2.1327434,1.3339462,2.3270266,0.35083014,0.6831657
2.8268347,3.5873344,2.612918,0.49212372,-0.6709804
3.109449,3.3258898,3.2080276,0.47908488,-0.17099199
1.3489817,2.100396,0.9155565,0.047094867,-0.71669894
2.025668,2.1586347,1.2244996,0.31408015,-0.73013747
2.7883098,2.7989018,2.9214375,0.5,0.092779085
1.4301217,1.3366477,2.2882736,0.05478333,0.7217976
0.29757857,0.88210964,0.6887731,0.0076932423,-0.36570486
2.3978243,2.2964802,2.6046693,0.4587243,0.37699166
2.9294503,3.3199294,4.4421678,0.49707967,0.7251675
2.8982737,3.0872102,1.9407681,0.5,-0.71133304
3.511173,3.176809,3.8761945,0.4949645,0.73154795
2.6477654,2.6265986,2.3972204,0.5,-0.22766995
2.3574724,2.5565171,0.5084303,0.4629454,-0.68135226
0.9536493,0.96772254,0.7783441,0.025488304,-0.3021519
2.4051683,3.5776684,0.57854736,0.4598013,-0.70461404
3.0894337,3.335564,3.3309326,0.49609256,0.0068290937
1.0453279,1.1301788,1.1254538,0.033711866,-0.03251395
2.716161,2.7878659,2.5485902,0.49038312,-0.2825572
2.9188342,3.056834,2.4574506,0.4972616,-0.7294615
3.391553,3.2418995,3.918876,0.4968052,0.71630585
2.6376112,2.456028,2.6875622,0.5,0.2748515
3.4100745,3.8740358,3.001279,0.49751732,-0.7082029
2.1665182,3.1042354,1.5128019,0.3587898,-0.677694
2.6007977,2.5264301,2.8726811,0.5,0.3882129
2.2665176,2.709298,2.3475585,0.40660998,-0.43718123
3.0792952,2.940502,3.331915,0.49859765,0.4982876
1.9325552,2.2845702,3.4322293,0.24090256,0.6976758
2.4404278,1.9325066,2.9825525,0.49236822,0.64948887
1.4898399,1.2442833,1.6717958,0.08917726,0.48336276
2.940395,2.685717,2.3147242,0.5,-0.4283056
3.3701105,3.438359,4.2889557,0.5,0.68570864
3.1293724,2.7472,3.4203048,0.5,0.71387756
3.050777,2.1579666,4.441246,0.5,0.7156227
0.867706,0.32308072,0.5719335,0.009773815,0.4447527
0.7868154,0.90737617,0.37332776,0.005886816,-0.74631166
2.972812,2.7944384,3.870568,0.5,0.6597197
3.0403183,0.5337508,3.3482153,0.5,0.70669776
0.73060346,1.077611,1.5188751,0.0,0.6943338
1.1408681,0.93734825,0.7023935,0.038451865,-0.35220045
2.7049696,2.8348093,2.2473106,0.5,-0.6766356
2.421413,3.731775,2.0959113,0.44502005,-0.7161878
1.7133019,1.6686643,0.47317296,0.16619192,-0.74556863
1.8415796,1.9570805,0.6667048,0.22459204,-0.703884
1.1116171,1.501325,0.46014923,0.037471067,-0.76206225
3.151116,2.95893,3.3707185,0.5,0.5298869
2.5820162,2.520122,0.2765508,0.49463952,-0.72101754
4.3035164,4.4308333,4.0413737,0.5,-0.45266974
2.0324337,2.320983,2.5381293,0.32235697,0.2766567
2.8487606,2.597262,3.186961,0.5,0.692518
0.69667953,1.1933249,0.6105837,0.015642395,-0.71810037
0.48932543,1.4439386,1.6341467,0.0,0.35029638
2.9235122,2.2404244,3.292204,0.495205,0.6680602
3.2286313,3.6631248,3.643001,0.49345756,-0.043376222
2.5701334,2.7833023,0.45118806,0.5,-0.74308246
3.5685089,3.657818,4.782146,0.49427438,0.6825415
3.3479776,3.7555294,2.836333,0.5,-0.72951376
2.0824816,2.9340649,1.995428,0.3312642,-0.6640944
2.8065553,3.1366827,2.301372,0.499617,-0.7205294
1.6725645,2.3558939,1.5533944,0.1602697,-0.7379981
3.5265827,3.6747773,3.5214355,0.49870294,-0.1900661
2.7597916,3.1339524,2.5194921,0.5,-0.7198716
3.4238641,3.3116086,3.8626223,0.5,0.65982616
2.5328882,2.7466536,2.96307,0.4989343,0.30388153
1.5269951,1.5686551,1.6905216,0.093211666,0.19009982
4.185544,0.4745002,4.542228,0.4722306,0.7089617
1.2170258,0.6173976,2.3458562,0.05561721,0.75872236
2.0073764,1.6390641,1.0263097,0.2718367,-0.7349501
3.3000026,4.087263,2.7960575,0.49122617,-0.71791613
3.8052647,4.7011213,3.638495,0.5,-0.6860904
2.5163713,1.8028442,2.2225883,0.5,0.4890429
1.4943334,1.3352029,2.411785,0.08280823,0.70400673
2.7160802,2.5891557,2.7167652,0.498664,0.18299736
0.8905132,1.3095565,0.5745993,0.010778059,-0.6245146
2.144946,2.358468,1.8348459,0.34124488,-0.62968755
3.733786,4.1948724,3.5575094,0.5,-0.7440387
2.5229242,2.065317,2.3429258,0.48923028,0.36154544
1.0505735,1.4497072,0.86357105,0.035508536,-0.71181667
2.310186,2.300966,2.964301,0.42203444,0.6377726
3.2674136,3.0744503,3.307807,0.4974014,0.27019486
1.4105997,0.86293155,1.5633658,0.06319497,0.71481246
2.7472703,2.8038857,3.2772696,0.5,0.56663984
4.072847,4.18627,4.7127624,0.49253085,0.6416208
3.7811372,0.5427939,3.6992724,0.5,0.7267325
2.9648583,0.83030355,3.781034,0.5,0.71485746
0.8807714,2.0160708,0.54531753,0.03843042,-0.66996676
0.94669986,0.20491293,0.76627195,0.031520702,0.7553687
2.52081,2.698839,3.1462471,0.48990402,0.48270747
3.1298418,2.8158472,3.533882,0.5,0.72239244
3.665324,3.4212384,0.7986611,0.49136552,-0.74244523
1.8189623,1.7288814,1.8573841,0.23314676,0.13952553
2.8962247,3.6037314,3.1327922,0.49585265,-0.57619613
2.8079329,2.8298025,2.6928678,0.5,-0.16467226
2.657564,2.3181438,2.7620122,0.5,0.54520726
1.0152489,1.5583032,0.8149031,0.024131414,-0.69691974
2.774389,2.3530889,3.079588,0.4913635,0.7024901
0.6955785,1.7289342,1.6827724,0.012004014,-0.045961544
3.2483466,2.836765,3.4240122,0.5,0.7342347
2.9018939,2.9867084,3.490501,0.49454954,0.58189124
2.4686177,3.672723,2.709644,0.49001586,-0.71279365
2.0891273,2.1495135,2.8855603,0.33831683,0.67079335
1.2631719,1.7217296,2.2676578,0.06681278,0.7472431
0.72936535,0.87859476,0.6748574,0.020213593,-0.3487306
2.1710093,2.3499527,1.4894346,0.37793446,-0.7384302
0.9049615,0.74712265,0.53978765,0.03063422,-0.4026296
2.8477156,3.2235458,3.5407722,0.5,0.3594101
3.260689,4.1141148,3.6751988,0.49819854,-0.55839217
2.194309,1.3599564,1.9420054,0.35239232,0.6850681
0.6449114,0.4610597,1.6080592,0.01701479,0.7090112
3.2757256,3.2697403,3.3273478,0.49021626,0.11525523
2.690201,2.4715798,2.738009,0.5,0.3542839
2.4989736,3.0237846,2.535893,0.5,-0.59056115
1.1209694,1.0227047,1.9962478,0.049325693,0.67894924
0.50848496,0.74345994,0.37369275,0.011324718,-0.70460486
1.8213155,2.7757523,2.6718264,0.20808755,-0.0864444
1.1864227,0.44882774,1.6591127,0.041390773,0.7318021
1.0614268,1.3715135,1.9103998,0.03753779,0.75638926
3.648946,3.769879,4.202859,0.5,0.54642254
1.8019207,1.9275851,2.1126108,0.2120156,0.20629293
0.7374433,0.4483821,1.2964088,0.0070840493,0.7185136
2.4495423,2.5447092,2.7369816,0.47369134,0.21218595
1.4410318,1.5685531,1.264585,0.07711716,-0.39171278
3.0027614,3.0514734,3.5220735,0.5,0.5756552
1.4309485,1.9833724,1.5964432,0.0872377,-0.47109723
2.370185,2.0995405,3.2268164,0.46062627,0.7193684
0.8029733,0.2937863,1.5922937,0.009500494,0.71415615
2.3161411,1.5124927,2.7755535,0.43156496,0.7219042
2.0446835,2.2938638,2.7569134,0.32596323,0.52809674
0.24055278,0.8391997,0.71397275,0.0,-0.24301481
2.436333,0.64448017,2.9277885,0.46599293,0.7394098
2.3505268,1.9647735,2.1974823,0.43506527,0.3337758
3.2969012,4.478892,3.7024055,0.49653593,-0.6728977
0.86620784,1.7076347,1.3078008,0.02918564,-0.7000136
2.30873,3.1734998,2.718754,0.43337715,-0.54339397
3.1097856,3.5269938,3.4681077,0.5,-0.109085694
0.5217089,1.0715704,0.83054054,0.005603415,-0.4274633
0.8596673,0.90787876,2.1297276,0.027197117,0.6704075
2.483032,1.9836177,2.6805265,0.49671644,0.72058606
3.137454,2.596995,3.699977,0.5,0.6548921
3.1225727,3.3152163,3.2987406,0.5,0.017799396
2.5102541,3.1827006,2.8894105,0.5,-0.32505238
2.3079937,2.4280512,2.06358,0.42344144,-0.43139604
2.6096852,3.0928345,2.5304663,0.5,-0.6796107
3.027307,3.2174346,2.9845698,0.5,-0.27587888
2.0107396,2.361374,1.501376,0.28650764,-0.71943665
1.9318852,2.4482882,2.1361542,0.24860309,-0.35498503
3.4900215,4.369351,3.2986486,0.5,-0.7305668
2.1347682,2.510997,1.8389246,0.3443235,-0.6670566
0.5129413,1.6802548,1.7537535,0.0,0.14279191
2.4225752,2.5902288,3.2889853,0.46446905,0.71930707
2.4850667,3.391487,3.7593725,0.5,0.42236945
3.452003,3.9479399,3.642934,0.49331877,-0.34646234
2.4740677,1.7913035,2.6189058,0.47863388,0.65674776
0.84734666,1.7134391,1.2626362,0.015367141,-0.7323787
2.451628,2.1973295,2.857196,0.46961352,0.7008258
2.2596185,2.4134948,2.3593924,0.39910275,-0.038701776
2.1927402,2.840001,2.0755043,0.36660197,-0.6583098
2.3788853,0.77118176,2.7960372,0.4582271,0.6210448
1.3030066,1.4623358,0.7253355,0.06844563,-0.7262613
3.0769312,3.5156708,3.5820186,0.47845086,0.11019269
1.0118829,0.77895397,1.1236422,0.035368007,0.55678034
3.220802,3.2686894,3.8005,0.47884223,0.68089753
1.6384925,1.6846989,2.4440355,0.14710099,0.71017617
3.4194927,4.098177,3.9188457,0.5,-0.20283185
3.3487337,1.2228543,2.9717715,0.5,0.66638523
3.9898353,0.5063631,3.382829,0.5,0.673324
3.195407,3.4463823,2.6395853,0.496716,-0.6722991
0.6011314,0.53320116,0.5721264,0.0,0.12347442
3.3849313,0.5131278,2.8811755,0.49699494,0.7133005
0.84473145,1.9261167,1.1274468,0.037607264,-0.72160023
0.58557135,0.9654725,0.3658955,0.0102221705,-0.6867471
2.5645404,2.4678185,2.4884422,0.5,0.048192825
1.0415573,0.6653538,1.2443157,0.027036939,0.7434156
2.1193404,2.8066895,0.84928346,0.3291117,-0.69917196
2.0365124,2.018167,1.8642845,0.30657154,-0.14051591
0.8421009,0.63404816,0.8626695,0.026130859,0.4475333
1.0700368,1.432003,1.498178,0.036693092,0.11677897
2.1990235,2.7121549,2.3128154,0.3665463,-0.43821353
2.968998,3.0041215,3.0681937,0.5,0.027866319
3.4049003,3.1393461,4.0006585,0.5,0.73292553
1.077266,1.9845092,0.7927161,0.04504355,-0.6913347
2.817465,3.350356,3.442963,0.5,0.121955335
2.5390642,3.252578,3.8296328,0.5,0.7322632
3.5881772,0.66108876,3.9869916,0.48972517,0.7201517
2.5578606,2.420456,2.5861318,0.5,0.22001415
3.1256723,3.1174598,2.642438,0.4772067,-0.5994501
0.673816,0.2,0.6805918,0.00038469076,0.68966246
3.0891018,3.120264,3.4894047,0.5,0.49690452
1.9865713,1.912763,2.1929564,0.28026825,0.34024343
1.8916574,2.0174127,2.0167239,0.24431986,-0.0046705035
2.4275522,2.662621,2.5276399,0.47330347,-0.20956606
0.95221275,1.2787625,0.93304914,0.022035979,-0.5658272
2.864336,2.7997167,3.0698442,0.49111402,0.32644355
3.913618,3.5793476,3.6723623,0.47566736,0.08183587
2.8585563,2.2843456,3.1024113,0.5,0.7258492
2.3892019,2.6918025,2.6559865,0.45382425,-0.061878525
0.6535832,0.9092166,1.6242591,0.004324641,0.7753779
3.335094,2.7996407,3.1782668,0.5,0.46502525
2.6696799,3.5387475,3.155473,0.49139175,-0.43008685
0.37750927,0.97618544,0.69341505,0.0,-0.48458245
2.618256,2.2944207,2.684704,0.4982379,0.48855305
2.016546,2.3358598,1.8763305,0.3119579,-0.5347961
2.3309667,2.4989974,3.1652389,0.43501076,0.75220585
2.6321864,2.9459534,2.1747942,0.49382436,-0.68166953
2.0243664,2.341085,1.899127,0.29433706,-0.513449
2.2961423,2.885304,0.27528957,0.42518106,-0.66906613
2.1536133,3.153972,2.029937,0.3457251,-0.7559181
2.197598,2.468187,2.2830615,0.38172776,-0.22105068
1.985835,2.4791765,2.9334059,0.28398612,0.53937274
2.3057268,3.2854238,2.2754464,0.41783872,-0.6884793
2.024527,2.0006874,3.3357804,0.28801778,0.753007
2.871203,2.6449633,3.6312413,0.5,0.69945353
2.7197688,3.2543452,2.638735,0.5,-0.7680223
0.6412633,0.21612056,0.5603468,0.0,0.64150584
1.1419703,0.83077264,1.427901,0.062517904,0.6872677
3.008422,3.9606743,3.3041902,0.49955,-0.65413696
2.8718212,2.2372942,2.4682486,0.5,0.32771447
2.9838953,3.4631867,0.5910387,0.5,-0.71716654
2.8747756,2.334197,2.2656093,0.5,-0.06783671
2.6397638,3.0107021,3.7289076,0.5,0.648145
2.604541,3.6684582,2.8422737,0.5,-0.6442222
2.0084424,1.6715287,1.9971882,0.30931422,0.3825925
3.133874,2.2724953,2.944456,0.5,0.7299693
2.568684,3.0043528,2.5483048,0.5,-0.6039429
3.4250221,3.3574202,2.9376986,0.48373055,-0.48481214
0.77498597,0.9215731,0.99270105,0.009902732,0.09145971
2.2139552,2.6781428,2.7968237,0.37958932,0.12836213
1.1845956,1.6818593,2.2441366,0.04502715,0.6929325
1.083457,1.5746149,1.6078304,0.03916975,0.032810327
1.3840058,0.6334529,1.9480022,0.070730984,0.763272
0.70888484,1.1795905,1.5804703,0.0,0.6691563
0.78687865,0.915868,0.8897775,0.013273562,-0.07161013
0.88923883,0.8982163,0.38272095,0.013272917,-0.70259887
0.5215157,0.72511476,1.0928007,0.0,0.70537955
2.3616364,2.9286377,2.2826498,0.4306183,-0.7242122
1.1190699,1.0287467,1.2861756,0.0010114786,0.39721
2.3718855,2.691976,2.1203558,0.4379429,-0.67991024
2.4620264,2.4203613,3.2295883,0.4932003,0.75080585
1.3637303,0.42512915,1.9689003,0.07115987,0.7328428
0.5899443,1.3457427,0.21645792,0.0037669055,-0.71449417
1.886941,2.3884392,2.1950119,0.25456458,-0.25254342
2.9911673,3.3989956,3.7014582,0.48917803,0.3800154
2.3858528,2.1702383,2.5424402,0.4480789,0.4590425
3.7784379,3.8653522,3.9191542,0.5,0.049787313
2.508147,3.022839,3.1057844,0.4932783,0.14134306
2.900484,3.2231538,0.6540669,0.5,-0.69078946
2.4686356,0.7766728,2.6638703,0.49059576,0.67946357
1.6459074,1.9319139,2.226432,0.1393326,0.38810235
2.4902651,2.390112,2.1925218,0.49659583,-0.22532602
3.0784678,2.9748695,2.8954794,0.49823317,-0.06361707
2.9377763,2.682008,2.2347894,0.49720114,-0.5934386
2.471291,2.301923,3.664818,0.48423782,0.6511026
1.7638985,1.993152,2.0499723,0.19538838,0.09793063
2.9805777,2.9664402,3.7001057,0.5,0.66522515
0.5532054,1.5029863,0.21629727,0.0,-0.70593435
0.3483983,1.0445275,1.1846088,0.003924138,0.21695365
2.475378,3.0140069,2.5026982,0.48897204,-0.5720329
1.6398504,1.6495872,2.4202838,0.14649121,0.679939
2.9346182,3.5435214,3.0393205,0.4951114,-0.61759114
1.0698246,1.711323,1.1436704,0.030980574,-0.7111784
3.4821217,4.4189596,4.1640506,0.5,-0.2621946
0.5499986,0.7735914,0.81141466,0.007204798,0.10970112
2.5717828,2.7652018,0.64137197,0.5,-0.6605181
2.8486786,2.6757274,2.2198749,0.5,-0.53090256
2.232447,3.8044472,2.6301816,0.3832086,-0.69513893
2.2257602,2.3427377,2.3757553,0.39092922,0.026450649
2.5435467,3.3765948,2.8224597,0.5,-0.61569184
2.030598,2.3124397,2.3123922,0.32543907,0.008841772
0.924815,1.5886104,1.0422113,0.028281357,-0.6887852
3.803492,3.952337,4.151464,0.5,0.23073012
3.2560585,3.880594,3.8057315,0.5,-0.12090239
2.8500485,3.167955,2.978617,0.49216193,-0.21430573
3.5382564,4.6034126,4.0338416,0.5,-0.65587944
2.1274023,2.4679027,2.5523927,0.32943544,0.11764173
0.7252002,0.5627027,1.4470075,0.0,0.65530986
2.3455036,2.7534204,1.3769028,0.44783628,-0.6886913
1.0955278,1.2584208,1.0473206,0.027951071,-0.33366975
0.73740536,0.47077218,1.2347924,0.0,0.729084
1.5438873,0.68857,2.8401868,0.099592224,0.7237518
1.004502,0.89430696,1.7485894,0.04225183,0.710648
0.83984166,0.93864244,1.7241825,0.007680598,0.67815995
0.8969635,1.114129,2.4821937,0.0042339596,0.6603809
2.8952558,2.0647461,3.098532,0.5,0.6633225
1.990643,1.9555776,3.2285898,0.30700067,0.62061346
2.870761,3.6033738,3.4287508,0.48139986,-0.19886921
2.0426493,2.1718779,1.7480993,0.2882272,-0.5098761
2.7615063,1.9350896,2.0142534,0.49670836,0.072768934
3.430107,3.5730255,3.5066464,0.5,-0.0525521
2.8597038,3.296585,3.323593,0.48808742,0.0378068
2.333435,2.3809035,2.4512568,0.42059997,0.111797534
2.915574,2.9826062,0.64055365,0.5,-0.63723475
0.7389856,0.7105066,1.8498366,0.015637768,0.69963104
1.3678683,0.6222518,1.6000137,0.06552798,0.6960329
2.3322234,2.2005024,3.5149019,0.4547171,0.7274959
3.1011505,3.5503469,3.658343,0.5,0.15889479
0.79191536,0.8886334,1.4781604,0.0,0.6868729
2.8954973,0.56446034,2.982684,0.5,0.6589588
2.5396113,2.536527,2.7217345,0.49457878,0.22331984
2.11535,1.8316609,2.313256,0.34394935,0.60474694
3.513267,4.0168343,3.6796427,0.5,-0.3849391
2.2421775,0.5762115,2.693688,0.39379635,0.6811817
0.72067916,1.1596715,1.5873009,0.0,0.74654657
2.4909177,3.1671345,3.9428854,0.5,0.67698574
2.9848435,2.6256242,2.8208885,0.5,0.23073512
0.9082665,0.7154084,1.1018395,0.004836193,0.65064645
1.3217982,2.1520145,1.9633505,0.07850195,-0.24653122
3.4083164,3.87659,3.669048,0.49968144,-0.27444175
3.2572927,3.1457953,2.8097749,0.48100823,-0.4201707
2.6806283,2.0462914,3.2600281,0.5,0.72478056
2.356485,1.9273576,2.1644893,0.46226355,0.2879838
4.268652,4.0312777,4.5876575,0.5,0.67023
0.9664824,0.8785054,2.011819,0.042247593,0.7263641
3.0985765,3.525761,3.6694682,0.5,0.18223956
2.7503498,2.341786,3.3053372,0.49036223,0.7335031
2.560752,2.5058904,3.5146153,0.5,0.7027816
2.7024276,2.2795024,2.860548,0.49988917,0.69317085
0.70851004,0.6926037,1.0107013,0.0,0.6070897
0.6800441,2.055885,0.8187625,0.0,-0.695712
2.8532069,3.6124468,3.3726208,0.5,-0.31012696
4.2164407,4.6482964,3.7267673,0.5,-0.6903334
0.9566998,0.9773167,0.75058544,0.028244203,-0.40929925
2.8904107,2.560731,3.1092412,0.5,0.6716234
1.105668,1.2351846,1.6061093,0.0416038,0.5970969
3.6941414,3.145416,4.8560314,0.49156392,0.6828901
0.73662454,1.2886673,0.48995087,0.0,-0.7214616
